neighbourhood,location_id
JARDIM DA PENHA,1
MATA DA PRAIA,2
PONTAL DE CAMBURI,3
REPUBLICA,4
GOIABEIRAS,5
ANDORINHAS,6
CONQUISTA,7
NOVA PALESTINA,8
DA PENHA,9
TABUAZEIRO,10
BENTO FERREIRA,11
SAO PEDRO,12
SANTA MARTHA,13
SAO CRISTOVAO,14
MARUIPE,15
GRANDE VITORIA,16
SAO BENEDITO,17
ILHA DAS CAIEIRAS,18
SANTO ANDRE,19
SOLON BORGES,20
BONFIM,21
JARDIM CAMBURI,22
MARIA ORTIZ,23
JABOUR,24
ANTONIO HONORIO,25
RESISTENCIA,26
ILHA DE SANTA MARIA,27
JUCUTUQUARA,28
MONTE BELO,29
MARIO CYPRESTE,30
SANTO ANTONIO,31
BELA VISTA,32
PRAIA DO SUA,33
SANTA HELENA,34
ITARARE,35
INHANGUETA,36
UNIVERSITARIO,37
SAO JOSE,38
REDENCAO,39
SANTA CLARA,40
CENTRO,41
PARQUE MOSCOSO,42
DO MOSCOSO,43
SANTOS DUMONT,44
CARATOIRA,45
ARIOVALDO FAVALESSA,46
ILHA DO FRADE,47
GURIGICA,48
JOANA D ARC,49
CONSOLACAO,50
PRAIA DO CANTO,51
BOA VISTA,52
MORADA DE CAMBURI,53
SANTA LUIZA,54
SANTA LUCIA,55
BARRO VERMELHO,56
ESTRELINHA,57
FORTE SAO JOAO,58
FONTE GRANDE,59
ENSEADA DO SUA,60
SANTOS REIS,61
PIEDADE,62
JESUS DE NAZARETH,63
SANTA TEREZA,64
CRUZAMENTO,65
ILHA DO PRINCIPE,66
ROMAO,67
COMDUSA,68
SANTA CECILIA,69
VILA RUBIM,70
DE LOURDES,71
DO QUADRO,72
DO CABRAL,73
HORTO,74
SEGURANCA DO LAR,75
ILHA DO BOI,76
FRADINHOS,77
NAZARETH,78
AEROPORTO,79
ILHAS OCEANICAS DE TRINDADE,80
PARQUE INDUSTRIAL,81
